策略名稱,股票代號,股票名稱,樣本數,平均勝率,平均報酬率,平均持有天數
F14_MCTS11,2392,,1,0.0,-0.177877,500.0
F14_MCTS11,2393,,2,1.0,0.5801609999999999,500.0
F14_MCTS11,2409,,1,1.0,1.632483,400.0
F14_MCTS11,2439,,2,1.0,3.48066,500.0
F14_MCTS11,2441,,1,1.0,1.054626,419.0
F14_MCTS11,2448,,2,0.5,-0.018861500000000003,470.0
F14_MCTS11,2450,,1,0.0,-0.019423,500.0
F14_MCTS11,2451,,2,1.0,0.527291,495.0
F14_MCTS11,2454,,3,0.3333333333333333,0.6555383333333333,500.0
F14_MCTS11,2458,,1,1.0,1.905553,377.0
F14_MCTS11,2474,,4,0.75,0.626996,500.0
F14_MCTS11,2489,,3,0.6666666666666666,0.17570066666666664,500.0
F14_MCTS11,2498,,2,1.0,0.44995850000000004,500.0
F14_MCTS11,2601,,2,0.0,-0.2817205,488.0
F14_MCTS11,2603,,1,1.0,0.245415,500.0
F14_MCTS11,2605,,2,0.0,-0.1304105,500.0
F14_MCTS11,2606,,2,0.5,0.107101,500.0
F14_MCTS11,2607,,4,0.75,0.428195,462.75
F14_MCTS11,2608,,2,1.0,0.23621150000000002,500.0
F14_MCTS11,2615,,3,1.0,1.077833,418.0
F14_MCTS11,2617,,1,0.0,-0.245603,500.0
F14_MCTS11,2701,,2,0.5,0.0734345,500.0
F14_MCTS11,2704,,4,0.5,0.067903,500.0
F14_MCTS11,2706,,4,0.75,0.058805,500.0
F14_MCTS11,2707,,2,1.0,0.11518500000000001,500.0
F14_MCTS11,2903,,2,0.5,0.34637399999999996,500.0
F14_MCTS11,2905,,3,0.6666666666666666,0.08212033333333334,486.6666666666667
F14_MCTS11,2908,,1,1.0,0.098813,500.0
F14_MCTS11,2912,,2,1.0,0.08956549999999999,500.0
F14_MCTS11,3005,,2,1.0,1.212776,500.0
F14_MCTS11,3008,,3,0.3333333333333333,-0.04619433333333334,500.0
F14_MCTS11,3010,,1,1.0,0.161257,500.0
F14_MCTS11,3017,,1,1.0,0.413036,500.0
F14_MCTS11,3026,,1,1.0,0.317962,500.0
F14_MCTS11,3035,,1,1.0,0.186027,500.0
F14_MCTS11,3036,,1,1.0,1.536664,498.0
F14_MCTS11,3037,,2,0.5,-0.055145500000000014,476.0
F14_MCTS11,3041,,1,1.0,0.155749,500.0
F14_MCTS11,3042,,1,1.0,0.405794,500.0
F14_MCTS11,3044,,2,1.0,0.24140050000000002,500.0
F14_MCTS11,3045,,1,1.0,0.105681,500.0
F14_MCTS11,3060,,1,0.0,-0.329995,500.0
F14_MCTS11,3062,,1,1.0,0.188111,500.0
F14_MCTS11,3189,,1,0.0,-0.029654,500.0
F14_MCTS11,3211,,1,0.0,-0.321851,500.0
F14_MCTS11,3227,,1,1.0,0.976911,500.0
F14_MCTS11,3231,,1,1.0,0.810654,500.0
F14_MCTS11,3260,,1,1.0,1.741876,500.0
F14_MCTS11,3264,,1,1.0,0.569162,500.0
F14_MCTS11,3311,,1,0.0,-0.493373,385.0
F14_MCTS11,3376,,1,1.0,0.92709,416.0
F14_MCTS11,3380,,1,1.0,0.064301,500.0
F14_MCTS11,3665,,1,1.0,1.450737,500.0
F14_MCTS11,3673,,1,0.0,-0.006158,500.0
F14_MCTS11,4105,,2,0.5,0.22719099999999998,500.0
F14_MCTS11,4123,,1,1.0,0.066631,500.0
F14_MCTS11,4306,,1,1.0,0.088383,500.0
F14_MCTS11,4906,,1,1.0,0.088444,500.0
F14_MCTS11,4938,,1,1.0,0.963584,500.0
F14_MCTS11,4958,,1,1.0,0.245963,500.0
F14_MCTS11,5009,,2,1.0,0.163218,500.0
F14_MCTS11,5203,,1,0.0,-0.167868,500.0
F14_MCTS11,5347,,1,1.0,2.655769,379.0
F14_MCTS11,5469,,4,1.0,0.6309560000000001,449.5
F14_MCTS11,5478,,1,1.0,0.617825,500.0
